	adult	director	genre_ids	lead actors	movie_id	overview	popularity	poster_path	release_date	title	video	vote_average	vote_count
168	False	Irvin Kershner	[12, 28, 878]	[Mark Hamill, Harrison Ford, Carrie Fisher]	1891	The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.	6.641069	/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg	1980-05-17	The Empire Strikes Back	False	8.1	4778
169	False	David Yates	[12, 14, 10751, 9648]	[Daniel Radcliffe, Rupert Grint, Emma Watson]	675	Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.	6.631927	/4YnLxYLHhT4UQ8i9jxAXWy46Xuw.jpg	2007-06-28	Harry Potter and the Order of the Phoenix	False	7.3	4128
170	False	Olivier Megaton	[53, 28]	[Liam Neeson, Forest Whitaker, Maggie Grace]	260346	Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.	6.610283	/ikDwR3i2bczqnRf1urJTy77YTFf.jpg	2015-01-01	Taken 3	False	6.0	1864
171	False	Roger Michell	[18, 10749]	[Anne Reid, Daniel Craig, Peter Vaughan]	59210	A grandmother has a passionate affair with a man half her age, who is also sleeping with her daughter.	6.571311	/8GV8AjbqKIN0q5vuEwYXUtk6UdM.jpg	2003-01-01	The Mother	False	6.8	14
172	False	Quentin Tarantino	[18, 37]	[Jamie Foxx, Christoph Waltz, Leonardo DiCaprio]	68718	With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.	6.52829	/5WJnxuw41sddupf8cwOxYftuvJG.jpg	2012-12-25	Django Unchained	False	7.7	8399
173	False	James Cameron	[28, 53, 878]	[Arnold Schwarzenegger, Linda Hamilton, Edward Furlong]	280	Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.	6.516515	/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg	1991-07-01	Terminator 2: Judgment Day	False	7.7	3444
174	False	Clint Eastwood	[18, 36]	[Tom Hanks, Aaron Eckhart, Laura Linney]	363676	On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.	6.496679	/h6O5OE3ueRVdCc7V7cwTiQocI7D.jpg	2016-09-07	Sully	False	6.9	1394
175	False	Ang Lee	[12, 18, 28]	[Suraj Sharma, Irrfan Khan, Ayush Tandon]	87827	The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.	6.486865	/sLYdcz7easaS7CmJGwQcVVYZqiF.jpg	2012-11-20	Life of Pi	False	7.1	4904
176	False	Robert Zemeckis	[35, 18, 10749]	[Tom Hanks, Robin Wright, Gary Sinise]	13	A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.	6.480749	/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg	1994-07-06	Forrest Gump	False	8.1	6017
177	False	Craig Zisk	[35, 18]	[Julianne Moore, Michael Angarano, Greg Kinnear]	174321	Teacher Linda Sinclair (Julianne Moore) balances her staid home life with an incredible passion for her subject, but her routine is forever altered when a former star pupil and his unsupportive father reenter her life. Go-to television director Craig Zisk, whose credits include Scrubs, Weeds and United States of Tara, takes a turn on the big screen with this insightful comedy about self-discovery co-starring Greg Kinnear, Nathan Lane, Michael Angarano and Lily Collins.	6.471394	/ivLgwEX7XE5XygL95HlYAD6Nu92.jpg	2013-05-16	The English Teacher	False	5.7	91
178	False	Chris Renaud	[12, 16, 35, 10751]	[Louis C.K., Eric Stonestreet, Kevin Hart]	328111	The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.	6.463306	/WLQN5aiQG8wc9SeKwixW7pAR8K.jpg	2016-06-18	The Secret Life of Pets	False	5.8	2682
179	False	Elliott Lester	[18, 53]	[Arnold Schwarzenegger, Maggie Grace, Kevin Zegers]	390051	Based on the airline accident that occurred in July of 2002 and on the events that took place 478 days later.	6.436514	/25oWTCGqIik4gUTMidx3L8DI4Bt.jpg	2017-04-06	Aftermath	False	5.9	20
180	False	J Blakeson	[12, 878]	[Chloë Grace Moretz, Nick Robinson, Alex Roe]	299687	16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.	6.432534	/cgxEscv6TQRK6a514FwuJOjcqQ5.jpg	2016-01-14	The 5th Wave	False	5.4	1451
181	False	André Øvredal	[27, 9648]	[Emile Hirsch, Brian Cox, Ophelia Lovibond]	397243	"Father and son coroners who receive a mysterious homicide victim with no apparent cause of death. As they attempt to identify the beautiful young ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets."	6.426519	/cEPR5dx1XMMvBtuzBIL4rR5xnh5.jpg	2016-12-21	The Autopsy of Jane Doe	False	6.5	281
182	False	Martin Campbell	[12, 28, 53]	[Daniel Craig, Eva Green, Mads Mikkelsen]	36557	Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.	6.386875	/zlWBxz2pTA9p45kUTrI8AQiKrHm.jpg	2006-11-14	Casino Royale	False	7.2	3249
183	False	Thea Sharrock	[18, 10749]	[Emilia Clarke, Sam Claflin, Janet McTeer]	296096	A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.	6.353721	/oN5lELHH5Xheiy0YdhnY3JB4hx2.jpg	2016-06-02	Me Before You	False	7.5	1531
